frequency_hz,attempt,resonance_displacement_m,experimenter,linearized_variable
384.000000,1.000000,0.217000,A,0.000651
384.000000,2.000000,0.376000,A,0.001953
426.700000,1.000000,0.192000,A,0.000586
426.700000,2.000000,0.588000,A,0.001758
426.700000,3.000000,0.982000,A,0.002929
480.000000,1.000000,0.171000,A,0.000521
480.000000,2.000000,0.522000,A,0.001563
480.000000,3.000000,0.880000,A,0.002604
512.000000,1.000000,0.152000,A,0.000488
512.000000,2.000000,0.494000,A,0.001465
512.000000,3.000000,0.820000,A,0.002441
384.000000,1.000000,0.227000,C,0.000651
384.000000,2.000000,0.389000,C,0.001953
426.700000,1.000000,0.190000,C,0.000586
426.700000,2.000000,0.594000,C,0.001758
426.700000,3.000000,0.982000,C,0.002929
480.000000,1.000000,0.170000,C,0.000521
480.000000,2.000000,0.526000,C,0.001563
480.000000,3.000000,0.882000,C,0.002604
512.000000,1.000000,0.153000,C,0.000488
512.000000,2.000000,0.481000,C,0.001465
512.000000,3.000000,0.822000,C,0.002441
