frequency (hz),n,dn_m,observer,calc_value
384,1,0.217,A,0.000651042
384,2,0.376,A,0.001953125
426.7,1,0.192,A,0.000585892
426.7,2,0.588,A,0.001757675
426.7,3,0.982,A,0.002929459
480,1,0.171,A,0.000520833
480,2,0.522,A,0.0015625
480,3,0.880,A,0.002604167
512,1,0.152,A,0.000488281
512,2,0.494,A,0.001464844
512,3,0.820,A,0.002441406
,,,,
frequency (hz),n,dn_m,observer,calc_value
384,1,0.227,C,0.000651
384,2,0.389,C,0.001953
426.7,1,0.190,C,0.000586
426.7,2,0.594,C,0.001760
426.7,3,0.982,C,0.002930
480,1,0.170,C,0.000521
480,2,0.526,C,0.001560
480,3,0.882,C,0.002600
512,1,0.153,C,0.000488
512,2,0.481,C,0.001460
512,3,0.822,C,0.002440
